,pt_BR,en_US
.TItle,Memórias Empacotadas,Boxed Memories
.Start,Começar,Start
.Settings,Configurações,Settings
.Credits,Créditos,Credits
.Exit,Sair,Exit
.Back,Voltar,Back
.Music,Música,Music
.Sounds,Sons,Sounds
.Language,Linguagem,Language
.Language_Selected,Português,English
.Day,Dia,Day
,,
.End_Phrase,Guardei minhas memórias em muitas caixas... Mas já não sei como encontrá-las.,I stored my memories in many boxes... But I no longer know how to find them.
,,
.DontForget,NÃO ESQUEÇA!,DON'T FORGET!
,,
.Open_Boxes,Abrir Caixas,Open Boxes
.Wash_Dishes,Lavar Louças,Wash Dishes
.Eat_Snack,Comer Lanche,Eat Snack
.Collect_Trash,Recolher Lixo,Collect Trash
.Sleep,Dormir,Sleep
.Check_Fridge,Ver Geladeira,Check Fridge
.Pee,Fazer Xixi,Pee
.Take_a_Shower,Tomar Banho,Take a Shower
.Watch_TV,Assistir TV,Watch TV
.Brush_Teeth,Escovar Dentes,Brush Teeth
.Water_Plants,Regar Plantas,Water Plants
.Find_Key,Encontrar Chave,Find Key
.Find_Photos,Encontrar Fotos,Find Photos
,,
.Continue,Continuar,Continue
,,
.Speak1,Onde estou?,Where am I?
.Speak2,Essa é minha casa?,Is this my house?
.Speak3,O que são essas tarefas?,What are those tasks?
.Speak4,Porque estou sozinho?,Why am I alone?
,,
.Instructions,WASD para andar | E para interagir,WASD to move | E to interact
